Title,University,Program,Funding,Year,Recipients_Partners,Description,Category
Smart Inventory Solution- Leveraging AI for Sustainable and ESG-Complaint Inventory Management,Victoria University,AEA Ignite Round 1,"$393,260.00",2025,Dr Omid Ameri Sianaki,"The purpose of the Smart Inventory Solution project is to revolutionize inventory management for small and medium-sized businesses through an AI-powered platform that optimizes inventory control while adhering to Environmental, Social, and Governance compliance standards.","Energy, Environment & Sustainability"
Novel Biotechnology for Anaerobic Algae Fermentation Yielding Sustainable Liquid Biofuels,The University of New South Wales,AEA Ignite Round 1,"$451,587.00",2025,Prof Bing-Jie Ni,"The purpose of this project is to enhance the production of high-value bioethanol from algae through advanced anaerobic fermentation, addressing waste issues while yielding renewable liquid bioenergy to meet Australia's growing energy demands.","Energy, Environment & Sustainability"
A Novel Bimodal Small Molecule That Reinvigorates Tired T-Cells To Fight Melanoma,The University of New South Wales,AEA Ignite Round 1,"$493,550.00",2025,Prof Levon Khachigian,"The purpose of this project is to develop an innovative drug, BT2, as a novel “bimodal” therapeutic for cancer, aiming to inhibit kinase activation in cancer cells and PD-1 levels on T cells, potentially transforming current therapy to reduce morbidity and mortality from melanoma and other cancers.",Health & Medical Technology
AI-Powered Image Technologies for Advanced Fish Breeding and Farm Efficiency,James Cook University,AEA Ignite Round 1,"$199,910.00",2025,Dr Alzayat Saleh,"The purpose of this project is to revolutionise fish farming by developing an AI-powered tool named AutoFish, which accurately assesses essential fish traits such as color, size, and weight using images and videos.","Energy, Environment & Sustainability"
MapTalk: A conversational AI assistant for geospatial data analytics,The Royal Melbourne Institute of Technology (RMIT),AEA Ignite Round 1,"$338,924.00",2025,Dr Yaguang Tao,"The purpose of this project is to enable anyone to create insights from complex data by asking questions in everyday language, thereby democratising data analysis and boosting industry productivity and efficiency.","Energy, Environment & Sustainability"
Zero-Emission Safer Roads for Rural and Regional Road Systems,The Royal Melbourne Institute of Technology (RMIT),AEA Ignite Round 1,"$480,212.00",2025,Prof Filippo Giustozzi,"The purpose of this project is to introduce a zero-emission, cost-effective construction method using recycled materials and green bio-additives to arrest damages induced by problematic soils, thereby improving the resilience of remote and regional communities reliant on the road system.","Energy, Environment & Sustainability"
Vision BaDGE electro-lens delivery of naked VEGFscav DNA is the future for wet-AMD eye disease therapy,The University of New South Wales,AEA Ignite Round 1,"$299,976.00",2025,Dr Georg von Jonquieres,"The purpose of this project is to develop a new technology for safe, painless delivery of naked DNA encoding a VEGF scavenger protein to the sclera of the eye using a single brief electric pulse, aiming to achieve long-term treatment for wet age-related macular degeneration (wetAMD) and related neovascularisation disorders.",Health & Medical Technology
The Monash Phage Foundry to manufacture clinical-grade phage products.,Monash University,AEA Ignite Round 1,"$199,997.00",2025,Dr Dinesh Subedi,The purpose of this project is to improve access to life-saving phage therapy in Australia by establishing a local manufacturing facility with the capacity for large-scale production of clinical-grade phage products.,Health & Medical Technology
AI-Enabled Anti-Spoofing for RF Device Authentication via Satellite Sensing,The Royal Melbourne Institute of Technology (RMIT),AEA Ignite Round 1,"$470,124.00",2025,Dr Bisma Manzoor,"The purpose of this project is to enhance wireless device security by developing advanced AI-enabled software for authentication using satellite technology, significantly improving wireless visibility and security.","Energy, Environment & Sustainability"
The Green Bundle: Integrated Hydrogen Storage and Delivery with Carbon Dioxide Conversion to Green Methane,University of Technology Sydney,AEA Ignite Round 1,"$301,648.00",2025,Prof Zhenguo Huang,"The purpose of this project is to develop a tandem and green process capable of enabling the large-scale storage and generation of hydrogen, and converting carbon dioxide into green methane.","Energy, Environment & Sustainability"
Low-cost sensing for liquid food supply chain authentication,The University of Western Australia,AEA Ignite Round 1,"$392,385.00",2025,Dr Nick Ling,"The purpose of this project is to combat supply chain fraud in Australia's liquid food products by developing a portable and low-cost digital agriculture solution that fingerprints liquid food products at the source, providing a unique digital signature traceable throughout the entire supply chain as proof of origin and authenticity.","Energy, Environment & Sustainability"
Multiplexed amino acid and pH biosensor array for in vitro sample qualification and optimisation,The University of Melbourne,AEA Ignite Round 1,"$132,000.00",2025,Prof Alastair Stewart,"The purpose of this project is to develop a biocompatible dual-purpose aptamer biosensor for amino acids and pH, aiming to transform the biological sample preparation and production workflow by marketing a user-friendly and fit-for-purpose biosensor array.","Energy, Environment & Sustainability"
Intelligent Agent for Efficient and Effective Frequency Control Ancillary Services Targeting Renewable Energy Power Systems,Griffith University,AEA Ignite Round 1,"$429,720.00",2025,Dr Yanming Zhu,"The purpose of this project is to develop an intelligent agent for solar power systems to deliver low-cost, effective Frequency Control Ancillary Services, enhancing energy efficiency, extending the lifespan of energy storage systems, reducing electricity costs, and improving the stability and efficiency of the national grid.","Energy, Environment & Sustainability"
Advanced Chemistry and Manufacturing of a Novel Peptide-Drug Conjugate,The University of Sydney,AEA Ignite Round 1,"$499,935.00",2025,Dr Pegah Varamini,"The purpose of this project is to develop a new peptide-drug conjugate designed to treat triple-negative breast cancer by targeting cancer cells more specifically, potentially offering a more effective therapy with high tolerability compared to current treatments.",Health & Medical Technology
Validation of Dynamic Interface Printing for high-throughput manufacturing of biological tissue models,The University of Melbourne,AEA Ignite Round 1,"$299,168.00",2025,Mr Michael Halwes,"The purpose of this project is to develop a novel biofabrication technology known as Dynamic Interface Printing to create precise, reproducible, and consistent tissue models of human disease.",Health & Medical Technology
Piezoelectric paints for next-generation smart buildings,The Royal Melbourne Institute of Technology (RMIT),AEA Ignite Round 1,"$426,422.00",2025,Dr Irfan Abidi,"The purpose of this project is to develop a piezoelectric paint that can detect intrusions and generate power from mechanical force, enhancing building security and sustainability.","Energy, Environment & Sustainability"
Novel Hybrid Direct Air Capture Technology Enabling Distributed 100% Green Methanol Production,The University of Melbourne,AEA Ignite Round 1,"$374,627.00",2025,A/Prof Gang Li,"The purpose of this project is to revolutionise green methanol production by combining solar thermal Direct Air Capture with methanol synthesis, creating a cost-effective and scalable process to produce 100% green methanol","Energy, Environment & Sustainability"
Renewable hydrogen production from indirect raw water electrolysis,Central Queensland University,AEA Ignite Round 1,"$425,028.00",2025,Dr Michael Opolot,"The purpose of this project is to develop an innovative raw water electrolysis system using a Membrane Distillation Heat Exchanger – Water Treatment Module (MDHX-WTM) to simplify water utilization and recycling, reduce costs, and support Australia's renewable hydrogen production.","Energy, Environment & Sustainability"
Innovative Gas Sensor for Low-Emission Energy Applications,The University of Sydney,AEA Ignite Round 1,"$299,668.00",2025,Prof Xiaoke Yi,This project aims to develop an innovative gas sensor that enhances safety for industries transitioning to hydrogen as a clean energy source by quickly and accurately detecting hydrogen leaks.,"Energy, Environment & Sustainability"
Advanced manufacturing of therapeutic radiopharmaceuticals for targeted cancer treatment,The University of Melbourne,AEA Ignite Round 1,"$499,097.00",2025,Dr Asif Noor,"This project aims to develop scalable, cost-effective manufacturing methods for therapeutic radiopharmaceuticals to enable centralised and commercially viable production and distribution, improving access to cancer therapies for people in rural and regional areas.",Health & Medical Technology
Advanced injection molding for scalable manufacturing of high-throughput 3D microfluidic devices,Monash University,AEA Ignite Round 1,"$199,543.00",2025,Dr Farin Yazdan Parast,"This project aims to develop and validate an advanced injection molding and automated assembly process to simplify the efficient, scalable production of complex 3D microfluidic structures, enhancing and accelerating the commercialization of biomedical microtechnologies.",Health & Medical Technology
Rescuing crucial frontline antibiotics for treatment of multidrug-resistant bacterial infections,The University of Melbourne,AEA Ignite Round 1,"$480,390.00",2025,Prof Christopher McDevitt,This project aims to advance the development of a therapeutic that can rescue the efficacy of macrolide antibiotics against community-acquired bacterial pneumonia infections.,Health & Medical Technology
Commercialisation of Mobile AI Tool for Real-time Characterisation of Mine Waste Materials,The University of New South Wales,AEA Ignite Round 1,"$161,726.00",2025,Mr Simit Raval,"The purpose of this project is to advance SCANDY, an artificial intelligence tool for real-time mine waste characterisation, helping to transform waste management in the mining industry through accurate, unbiased assessments and enhanced decision-making.",Mining & Resources
Accelerating Cultured Fish Meat Production,James Cook University,AEA Ignite Round 1,"$473,536.00",2025,A/Prof Lionel Hebbard,"The purpose of this project is to provide tropical fish cell lines and growth media that increase scale and reduce costs during cultivated fish meat manufacturing, enabling the generation of cultivated fish meat for pet-food and human consumption for the Asian market.",Agriculture & Food Technology
A novel BioC-H2 process for hydrogen and carbon nano material (CNM) production from biogas,The Royal Melbourne Institute of Technology (RMIT),AEA Ignite Round 1,"$499,870.00",2025,Dr Savankumar Patel,"The purpose of this project is to demonstrate and validate the BioC-H2 process performance at a TRL 5 stage, showcasing its ability to transform biogas into energy-rich hydrogen gas and high-value carbon nano materials.","Energy, Environment & Sustainability"
Reliable AI-Driven Decision Making for Autonomous Underwater Vehicles in Marine Life Surveys,Griffith University,AEA Ignite Round 1,"$483,414.00",2025,Dr Zhe Hou,"The purpose of this project is to integrate cutting-edge AI technology with advanced autonomous underwater vehicle systems to enhance the monitoring and analysis of marine life, particularly for sustainable fisheries practices",Agriculture & Food Technology
"Innovative, ultra-efficient device for sustainable electricity harvesting from CO2",The University of Queensland,AEA Ignite Round 1,"$454,240.00",2025,Dr Zhe Yang,"The purpose of this project is to leverage the ion separation technique to generate usable electricity from the CO2 amine adsorption process, transforming industrial waste into a valuable resource and reducing Australia's overall carbon footprint.","Energy, Environment & Sustainability"
Reducing losses from illegal fishing through satellite-based small boat detection,University of Technology Sydney,AEA Ignite Round 1,"$198,686.00",2025,Prof Jian Zhang,"The purpose of this project is to develop a highly accurate Artificial Intelligence system that can automatically locate small boats within remote maritime borders using optical satellite images, to improve monitoring of illegal fishing and reduce associated economic losses and monitoring costs.","Energy, Environment & Sustainability"
"Scalable, Long-Range, Quantum-Secure Communications for Critical Communications Infrastructure",University of Technology Sydney,AEA Ignite Round 1,"$472,128.00",2025,Prof Milos Toth,The purpose of this project is to revolutionise secure digital communication by developing an innovative quantum communications system to fortify and future-proof digital information between critical Australian communications infrastructure.,"Energy, Environment & Sustainability"
Health Status Estimation and Resilient Closed-loop Supply Chain for Retired Electric Vehicle Batteries,The University of New South Wales,AEA Ignite Round 1,"$199,052.00",2025,Dr Rui Zhang,The purpose of this project is to create a sustainable and efficient method to recycle and reuse batteries from electric vehicles to support Australia’s energy needs.,Health & Medical Technology
Breaking barriers: developing biofilm inhibitors to combat antimicrobial resistance,La Trobe University,AEA Ignite Round 1,"$497,919.00",2025,Prof Begoña Heras,"The purpose of this project is to use antibody-based inhibitors to disrupt UPEC biofilms, preventing biofilm formation, dismantling existing biofilms, and enhancing the effectiveness of antibiotics to address the critical unmet need of treating urinary tract infections and combating antimicrobial resistance.",Health & Medical Technology
GreenWave: Accelerated Perovskite Solar Cell Production with Machine Learning and Eco-Solvents,Macquarie University,AEA Ignite Round 1,"$300,156.00",2025,Prof Shujuan Huang,"The purpose of this project is to transform the manufacturing of perovskite solar cells by developing a green, high-throughput production process using advanced machine learning.","Energy, Environment & Sustainability"
A Novel Robot for Ankle Neurorehabilitation of Patients with Post-Stroke Disabilities,University of Canberra,AEA Ignite Round 1,"$185,813.00",2025,A/Prof Shahid Hussain,The purpose of this project is to develop a new ankle rehabilitation robot that assesses the disability level of individual patients and provides customised rehabilitation to improve lower limb movement and address drop foot issues.,Health & Medical Technology
Synthesis of a Novel Nanoparticle-Bispecific Immunotherapy Platform to Treat Breast and Skin Cancer,The University of Sydney,AEA Ignite Round 1,"$500,000.00",2025,A/Prof Veysel Kayser,"The purpose of this project is to advance a new type of cancer treatment using a patented nanoparticle-bispecific immunotherapy platform that targets breast and skin cancers, aiming to improve patient outcomes and reduce healthcare costs.",Health & Medical Technology
Developing stem cell villages in a dish to develop new therapeutics for retinal diseases,The University of Melbourne,AEA Ignite Round 1,"$498,108.00",2025,Prof Alice Pébay,"The purpose of this project is to use patient stem cell-derived models to discover novel therapeutics for neurodegenerative diseases, particularly blinding diseases, by optimizing methods to grow ""retinal villages"" and applying machine-learning methods for more precise and personalized treatments.",Health & Medical Technology
Rapid and Affordable Imaging for Identification of Grass Seed Infestation in Australian Sheep,The University of New South Wales,AEA Ignite Round 1,"$457,978.00",2025,Dr Shaghik Atakaramians,"The purpose of this project is to develop a rapid and affordable scanning technology using terahertz waves and artificial intelligence to identify grass seed infestation in Australian sheep, enhancing productivity and quality management in the industry.","Energy, Environment & Sustainability"
AI-Enhanced Haptically-Enabled Robot for Teleoperated Echocardiography,Swinburne University of Technology,AEA Ignite Round 1,"$348,004.00",2025,Edgar Mauricio Hidalgo Florez,"The purpose of this project is to develop an AI-enhanced teleoperated robot for heart ultrasound examinations, enabling heart specialists in major cities to perform ultrasound examinations on patients in regional or remote Australia.",Health & Medical Technology
A Breath Ketone Sensor for Non-invasive Monitoring of Diabetes and Metabolic Health,The Australian National University,AEA Ignite Round 1,"$496,477.00",2025,Prof Lan Fu,"The purpose of this project is to revolutionise ketone monitoring for both humans and animals by developing a portable, non-invasive, and cost-effective breath ketone sensor, the Keto-whistle, to enable real-time, at-home, or in-field metabolic health diagnosis and monitoring.",Health & Medical Technology
"A solid state nanopore sensor for rapid, inexpensive, and non-invasive early-stage detection of Alzheimer’s disease.",The Australian National University,AEA Ignite Round 1,"$198,767.00",2025,Mr Shankar Dutt,"The purpose of this project is to develop a low-cost blood test for early detection and monitoring of Alzheimer's disease, aiming to improve healthcare outcomes, reduce costs, and enhance accessibility, especially for rural and remote areas.",Health & Medical Technology
A Novel Drug Treatment for Fibrotic Disease,Monash University,AEA Ignite Round 1,"$494,993.00",2025,Prof Bernard Flynn,"The purpose of this project is to enhance the preclinical package of CIN244, a 'first-in-class' antifibrotic developed by Cincera Therapeutics, to better understand its role in halting fibrosis, guide its therapeutic use, predict adverse effects, and identify patient groups most likely to benefit from the drug.",Health & Medical Technology
SPARK: Designing Sovereign Pedagogical AI for Reinforcing Knowledge in Australian Education,The University of New South Wales,AEA Ignite Round 1,"$480,000.00",2025,Mr Lorenzo Lee Solano,"The purpose of this project is to safely harness the benefits of generative AI in education by utilising proprietary datasets to improve large language models with pedagogical guardrails and content moderation, ultimately helping students arrive at solutions independently.","Digital Technology, AI, & Data Science"
Future-proofing Against Resistant Bacterial Priority Pathogens: Innovative Formulations to Treat Infections and Save Lives,University of South Australia,AEA Ignite Round 1,"$470,162.00",2025,Dr Yunmei Song,"The purpose of this project is to develop a new antibacterial compound, NCL195, to combat drug-resistant bacteria and address the growing threat of antimicrobial resistance.",Health & Medical Technology
Digitally-targeted yeast bioprospecting for non-alcoholic beer to value add to Australian agriculture,The Australian National University,AEA Ignite Round 1,"$497,117.00",2025,Dr Jonathan Arundel,"The purpose of this project is to build upon previous work to identify and select five new non-genetically modified yeast strains from the Australian wilderness, using digital technologies and machine learning, to improve the production of non-alcoholic beer.","Energy, Environment & Sustainability"
"OzAmmonia: Closing the Waste NOx Cycle via Green Ammonia Production, Powered by Renewable Energy in Australia",The University of New South Wales,AEA Ignite Round 1,"$498,500.00",2025,Dr Rahman Daiyan,"The purpose of this project is to improve the Technology Readiness Level of the OzAmmonia system by developing an integrated system to convert waste nitrogen oxide emissions (NOx) from renewable ammonia/hydrogen combustion engines into renewable ammonia, thereby enhancing efficiency and reducing environmental impact.","Energy, Environment & Sustainability"
"Digital Twins in Agriculture: Virtual Farm Model for Enhancing Crop Health, Productivity, and Sustainability",The University of Adelaide,AEA Ignite Round 1,"$491,672.00",2025,Prof Dr Volker Hessel,"The purpose of this project is to develop an innovative digital twin (DT) platform for improved decision-making to foster canola and vineyard production, leveraging the Internet of Things and DT to create virtual farm models and predictive insights for enhanced crop health and farm sustainability.",Health & Medical Technology
Indigo Revolution: Australia's Sustainable Dye,The University of New South Wales,AEA Ignite Round 1,"$378,267.00",2025,Dr Yun Cheuk Leung,"The purpose of this project is to produce indigo through microbial fermentation, eliminating the need for toxic chemicals and enabling more environmentally friendly dyeing processes.","Energy, Environment & Sustainability"
Project “Iron Wheat”: Research and commercialisation of a new wheat variety in Australia which offers higher crop yield and improved feed conversion in poultry,The University of Melbourne,AEA Ignite Round 1,"$476,932.00",2025,Prof Alex Johnson,"The purpose of this project is to improve Australian wheat yields and poultry health by advancing the research and commercialisation of a genetically modified wheat variety developed at The University of Melbourne, known as Iron Wheat.",Health & Medical Technology
Developing lead-free perovskites for low-cost and environmentally friendly solar panels,The University of Queensland,AEA Ignite Round 1,"$198,319.00",2025,Dr Peng Chen,"The purpose of this project is to develop environmentally friendly solar panels by substituting hazardous lead with non-toxic tin, enabling efficient and green photovoltaic technologies for solar energy harvesting.","Energy, Environment & Sustainability"
Preventing food poisoning with plasma activated water,The University of Adelaide,AEA Ignite Round 1,"$447,032.00",2025,Dr Katharina Richter,"The purpose of this project is to revolutionise the egg washing process by using plasma-activated water as an eco-friendly sanitser, aiming to create a safer, more sustainable method that reduces the need for harmful chemicals and conserves water.","Energy, Environment & Sustainability"
Realising Net Zero Emissions - An Affordable Concentrated Solar Thermal (CST) Demonstrator for Industry and Agriculture,University of South Australia,AEA Ignite Round 1,"$497,250.00",2025,Dr Marta Llusca Jane,"The purpose of this project is to fabricate and assemble a CST Demonstrator with two full-size solar thermal modules, using innovative plastic mirrors to reduce costs and make renewable industrial process solar heat more accessible and affordable, thereby contributing to achieving Net Zero emissions.","Energy, Environment & Sustainability"
Printable zinc ion batteries for flexible devices,The University of Queensland,AEA Ignite Round 1,"$199,008.00",2025,A/Prof Ruth Knibbe,"The purpose of this project is to develop and scale up flexible, printed zinc-ion batteries using advanced screen printing techniques, offering a cheaper, more sustainable alternative to lithium batteries and positioning Australia as a key player in the growing flexible battery market.","Energy, Environment & Sustainability"
Advanced manufacturing of non-invasive AI-enabled brain monitor: towards a medical device to reverse paralysis,Griffith University,AEA Ignite Round 1,"$499,770.00",2025,Dr Yana Salchak,"The purpose of this project is to transform rehabilitation for individuals with spinal cord injury through the BioSpine system, an innovative medical device designed to re-establish neuronal connections between the brain and muscles.",Health & Medical Technology
AI-Powered Future Prediction Tool for Rail Transport Asset Management,Central Queensland University,AEA Ignite Round 1,"$500,000.00",2025,Prof Maksym Spiryagin,"The purpose of this project is to revolutionise condition monitoring in rail transport asset management by combining advanced mathematical modelling with real-world performance data to provide real-time, highly detailed insights into locomotive condition.","Energy, Environment & Sustainability"
Non-invasive technology for gender determination of fertilised chicken eggs before incubation,The University of Melbourne,AEA Ignite Round 1,"$353,635.00",2025,Dr Snjezana Tomljenovic-Hanic,"The purpose of this project is to construct a device that can non-invasively determine the sex of fertilised chicken eggs before incubation, reducing costs, improving animal welfare, and decreasing the carbon footprint of the poultry industry.","Energy, Environment & Sustainability"
Machine learning prediction of patient ventilator asynchrony,The University of Melbourne,AEA Ignite Round 1,"$498,280.00",2025,Dr Anthony Stell,"The purpose of this project is to develop a machine-learning algorithm that detects when ventilator-assisted patients' breathing cycles become ""out of synch"" with the ventilator, allowing clinicians to adjust settings for better support, improving usage, quality of life, and survival for patients with conditions like motor-neuron disease.",Health & Medical Technology
AI-based 3D scanning and analysis technologies for healthcare and industry,Queensland University of Technology,AEA Ignite Round 1,"$485,380.00",2025,Prof Maria Woodruff,"The purpose of this project is to advance the core 3D scan processing technology by developing and integrating an AI-driven 3D processing and analysis system, resulting in an adaptive scanning technology with AI deep learning capabilities for higher scan-fidelity and more accurate 3D analyses.",Health & Medical Technology
Scalable purification of viral vectors by metal affinity chromatography,The Australian National University,AEA Ignite Round 1,"$215,939.00",2025,Dr Anjali Gowripalan,"The purpose of this project is to enhance local vaccine manufacturing by using technology developed at the Australian National University to add protein tags to viruses, allowing for the removal of unwanted cellular debris and resulting in a purer vaccine stock.",Health & Medical Technology
Manufacture of multiwell cartridges for high-throughput screening of phospholipase biomarkers in clinical samples.,University of Technology Sydney,AEA Ignite Round 1,"$199,713.00",2025,A/Prof Charles Cranfield,"The purpose of this project is to develop a 96-well plate with tethered bilayer lipid membrane technology to identify the presence of phospholipase A2 in human stool samples, aiming to improve screening for bowel cancers and inflammatory bowel diseases by reducing false-positive results and unnecessary gastrointestinal endoscopies.",Health & Medical Technology
Manufacturing a High-Performance Radiopharmaceutical Product,The University of Sydney,AEA Ignite Round 1,"$407,530.00",2025,Prof Rachel Codd,"The purpose of this project is to collaboratively develop a new targeted ligand therapy agent named D2, focusing on improving its manufacturing efficiency, cost, product stability, and performance to enhance cancer treatment options and positively impact the future Australian economy and society.",Health & Medical Technology
Bioadhesives for Underwater Applications,Queensland University of Technology,AEA Ignite Round 1,"$498,000.00",2025,Prof Dr Leonie Barner,"The purpose of this project is to optimize underwater bioadhesives, partly made from plant waste, for coral reef restoration and marine industry applications, aiming to protect and restore marine ecosystems while supporting the global ocean economy.",Agriculture & Food Technology
IMAGENDO® – Revolutionising Endometriosis Diagnosis with Machine Learning and Imaging,The University of Adelaide,AEA Ignite Round 1,"$498,291.00",2025,Dr Jodie Avery,"The purpose of this project is to advance the functional prototype of IMAGENDO®, a non-surgical diagnostic system for endometriosis, to a regulatory-ready diagnostic tool.",Health & Medical Technology
Quantum Automation for Cyber Defence,Deakin University,AEA Ignite Round 1,"$479,960.00",2025,Prof Robin Ram Mohan Doss,"The purpose of this project is to validate a novel quantum computing solution for early detection and automatic response to cyber threats, leveraging quantum principles and artificial intelligence to enhance cyber defense capabilities.","Energy, Environment & Sustainability"
New Carbon Fibre Recycling Process,The University of New South Wales,AEA Ignite Round 1,"$472,534.00",2025,Dr Di He,"The purpose of this project is to create Australia's first recycling facility that produces high-quality carbon fibre recycled material from retired aircrafts, wind turbines, and consumer goods, turning waste into a valuable resource and demonstrating its commercial potential.","Energy, Environment & Sustainability"
Production of clinical-grade red blood cell extracellular vesicles (RBC-EV) to modulate neuroinflammation in the treatment of retinal degenerative diseases,The Australian National University,AEA Ignite Round 1,"$289,147.00",2025,Dr Yvette Wooff,"The purpose of this project is to develop a manufacturing pipeline with Cell Therapies to produce clinical-grade red blood cell-derived extracellular vesicles (RBC-EV) for downstream safety and efficacy testing, aiming to advance towards a Phase I clinical trial for an accessible, safe, and anti-inflammatory treatment for retinal degenerations.",Health & Medical Technology
Quantum voltage imaging assays for neuro-pharmacology,The University of Melbourne,AEA Ignite Round 1,"$496,638.00",2025,Dr Nikolai Dontschuk,"The purpose of this project is to develop a quantum voltage imaging platform to advance drug development for neurological disorders, enabling neuroscientists to discover new ways to understand and treat diseases such as epilepsy, Alzheimer's, and motor-neuron disease.",Health & Medical Technology
Verification of a handheld prototype to measure brain pressure,The University of Melbourne,AEA Ignite Round 1,"$199,552.00",2025,Dr Bao Nguyen,"The purpose of this project is to develop a portable and compact device for quick, accessible, and objective brain pressure checks to monitor concussed athletes at the time and location of injury, ensuring a safe return-to-play and peace of mind.",Health & Medical Technology
Development of a Novel Turbostratic Carbon Film for Electrode Materials in Batteries and Supercapacitors,The University of Melbourne,AEA Ignite Round 1,"$289,775.00",2025,Dr Mehrdad Parsa,"The purpose of this project is to develop Turbostratic Carbon Films as a new electrode material for batteries and supercapacitors, aiming to significantly improve battery life, reduce charging times, and lower manufacturing costs by at least 30%.","Energy, Environment & Sustainability"
BenPol technology for management of cotton bollworm and western flower thrips,The University of Queensland,AEA Ignite Round 1,"$499,608.00",2025,Dr Karishma Mody,"The purpose of this project is to advance the patented novel material construct, BenPol, for efficient delivery of RNA interference (RNAi) technology to manage major agricultural pests, thereby enhancing Australia's agricultural productivity and sustainability.","Energy, Environment & Sustainability"
A Scalable Machine Learning Platform for Pharmaceutical Manufacture,The University of Melbourne,AEA Ignite Round 1,"$428,296.00",2025,Dr Milena Czyz,"The purpose of this project is to develop a software platform and synthesis protocols to create scalable chemical manufacturing processes for pharmaceutical products in Australia, combining novel chemistries with machine-learning and continuous flow technologies to enhance local pharmaceutical manufacturing.","Energy, Environment & Sustainability"
VisionSync: AI-Driven Sensor Fusion for Enhanced Driver Awareness and Safety,Queensland University of Technology,AEA Ignite Round 1,"$472,597.00",2025,Dr Xiaomeng Li,The purpose of this project is to revolutionise road safety by developing an advanced system that leverages existing vehicle sensors to track a driver’s focus and identify potential hazards in real time.,"Energy, Environment & Sustainability"
Commercialising Artificial Intelligence Methods for Detecting and Preventing Data Breaches in the Cloud,The University of New South Wales,AEA Ignite Round 1,"$433,050.00",2025,Dr Hassan Habibi Gharakheili,"The purpose of this project is to develop a cutting-edge artificial intelligence system to protect small and medium-sized businesses in various industries from data breaches in real-time, enabling them to safely manage sensitive information in the cloud without needing in-house cybersecurity expertise.","Energy, Environment & Sustainability"
A virtual training environment to improve workforce safety in the construction industry,The University of Melbourne,AEA Ignite Round 1,"$94,827.00",2025,Prof Lihai Zhang,"The purpose of this project is to develop an innovative virtual training platform for the construction industry, providing a realistic environment where workers can practice safety procedures, identify hazards, and manage risks in a setting that mirrors real-world conditions.","Energy, Environment & Sustainability"
IntelGrid: A Grid Intelligence Technology Enabling Efficient Integration of Renewables and Electric Vehicles,The Royal Melbourne Institute of Technology (RMIT),AEA Innovate Round 1,"$4,606,681.00",2025,Prof Mahdi Jalili,"The project will deploy IntelGrid, an AI-powered platform for grid planning and operation. It will help energy distributors optimise networks, integrate renewables, and unlock capacity for solar and EVs. IntelGrid will reduce costs, support affordable electricity, and position Australia as a global leader in smart, sustainable energy infrastructure.","Energy, Environment & Sustainability"
Improving commercial outcomes for the tomato industry through enhanced vigour and grafting success,The University of Adelaide,AEA Ignite Round 1,"$310,264.00",2025,Dr Adriane Piechatzek,"The purpose of this project is to develop the best protocols for electrical treatment of tomato seeds and plants, leveraging Indigenous knowledge and modern science to improve plant growth and yield for the benefit of the tomato industry.","Energy, Environment & Sustainability"
Revolutionising Wind Energy: Smart Wind Turbine Blades for Enhanced Turbine Efficiency and Output,The Royal Melbourne Institute of Technology (RMIT),AEA Innovate Round 1,"$4,941,028.00",2025,Prof Pier Marzocca,"The project will deploy smart wind blade technology to boost turbine efficiency and reduce costs. Advanced blades and control software will enable safer operation in a broader range of wind conditions. Demonstration at Latrobe Regional Airport will accelerate commercialisation, support regional growth, and position Australia as a leader in resilient, low-cost renewable energy innovation.","Energy, Environment & Sustainability"
A new truly simple and affordable IoT soil moisture monitoring system: A world first shallow install sensor for deep rooted crops for smart farming,The University of Melbourne,AEA Innovate Round 1,"$1,049,924.00",2025,Prof Guillermo Narsilio,"The project will scale smart soil monitoring technology to reduce crop losses and water use. Using patented sensors and a user-friendly app, it will enable data-driven decisions for shallow and deep-rooted crops. This innovation will boost farm efficiency, support sustainability, and unlock significant savings across Australian agriculture.","Energy, Environment & Sustainability"
Scaling Up Sovereign Powder Manufacturing of Critical Materials Through Sustainable Advanced Materials Innovation,Swinburne University of Technology,AEA Innovate Round 1,"$2,159,623.00",2025,Prof Christopher Berndt,"The project will establish sovereign capability in high entropy materials (HEMs), enabling local design and manufacture of advanced alloys. SUT and EntroMat will deliver bespoke HEMs for harsh industrial environments, reducing reliance on imports, protecting IP, and positioning Australia as a leader in critical materials innovation.","Defence, Aerospace, & Security"
"Building Faster and Greener: a Digitally-enabled Modular Production System for Rapid, Low Embodied Carbon Housing",The University of Melbourne,AEA Innovate Round 1,"$2,423,363.00",2025,Prof Tuan Ngo,"The project will develop ultra-low emission modular panels for rapid, affordable housing construction. In partnership with Spark Projects, pilot demonstrations will showcase advanced materials and smart curing methods. This innovation will reduce carbon emissions, accelerate prefab housing, and support Australia’s net-zero goals while expanding local manufacturing and job creation.","Energy, Environment & Sustainability"
Quantum Free-Space Adaptive Optics: Enabling quantum communication over turbulent channels,The Australian National University,AEA Innovate Round 1,"$1,910,000.00",2025,A/Prof Francis Bennet,"This project aims to develop a new way to send secure messages using light through the air. By combining quantum technology with adaptive optics, it aims to protect information, even in challenging conditions, without using cables. It will demonstrate how quantum secure communication can work at scale for space and maritime use.","Energy, Environment & Sustainability"
